AV,AC,PR,UI,Scope,CI,II,AI,baseScore
L,L,L,N,U,H,H,H,7.8
N,L,N,R,U,H,H,H,8.8
L,H,L,R,U,H,H,H,6.7
L,L,L,N,U,N,N,H,5.5
L,L,H,N,U,H,H,H,6.7
N,L,N,R,U,H,N,N,6.5
L,L,L,N,U,H,N,N,5.5
L,H,L,N,U,H,N,N,4.7
L,L,L,N,U,N,H,N,5.5
L,L,H,N,U,H,H,H,6.7
L,L,H,N,U,H,H,H,6.7
L,L,H,N,U,H,H,H,6.7
L,L,N,R,U,H,N,N,5.5
L,L,N,R,U,H,H,H,7.8
L,L,N,R,U,L,L,N,4.4
L,L,H,N,U,H,N,N,4.4
L,L,L,N,U,H,N,N,5.5
N,L,L,N,U,N,N,H,6.5
A,L,N,N,U,H,H,H,8.8
L,L,L,N,U,H,N,N,5.5
L,L,L,N,U,H,H,H,7.8
L,L,L,N,U,H,H,H,7.8
N,L,N,R,U,H,N,N,6.5
L,L,H,N,U,L,N,N,2.3
L,H,L,N,U,H,H,H,7.0
L,L,L,R,U,H,N,N,5.0
N,L,N,R,U,H,H,H,8.8
L,L,L,N,U,H,H,H,7.8
N,L,N,N,U,H,N,N,7.5
L,L,L,N,U,H,N,N,5.5
L,L,L,N,U,H,H,H,7.8
N,L,N,N,U,H,N,N,7.5
N,L,N,N,U,H,N,N,7.5
N,L,N,N,U,H,N,N,7.5
L,L,L,N,U,H,H,H,7.8
L,L,H,N,U,H,N,N,4.4
L,L,H,N,U,H,N,N,4.4
L,L,H,N,U,H,N,N,4.4
L,H,H,N,U,H,H,H,6.4
L,L,L,N,U,H,H,H,7.8
L,L,L,N,U,N,L,N,3.3
L,L,L,N,U,H,N,N,5.5
N,L,N,R,U,H,N,N,6.5
L,L,H,N,U,H,H,H,6.7
L,L,N,R,U,H,H,H,7.8
P,L,N,R,U,N,H,N,4.3
L,L,H,N,U,H,H,H,6.7
L,L,L,N,U,H,H,H,7.8
L,L,L,N,U,H,N,N,5.5
L,L,L,N,U,H,N,N,5.5
L,L,L,N,U,H,N,N,5.5
L,L,H,N,U,H,N,N,4.4
L,L,L,N,U,H,N,N,5.5
L,L,H,N,U,H,N,N,4.4
L,L,L,N,U,H,N,N,5.5
N,L,N,N,U,H,N,N,7.5
L,L,L,R,U,H,H,H,7.3
L,H,H,N,U,H,H,H,6.4
L,L,L,N,U,H,H,H,7.8
N,L,N,N,U,N,N,H,7.5
L,L,L,N,U,H,H,H,7.8
L,L,L,N,U,H,H,H,7.8
N,L,N,N,U,H,H,H,9.8
L,L,N,R,U,H,N,N,5.5
N,L,N,R,U,N,N,H,6.5
L,L,L,N,U,N,N,H,5.5
L,L,L,N,U,L,L,L,5.3
L,L,L,N,U,H,N,N,5.5
L,L,L,N,U,H,H,H,7.8
L,L,L,N,U,H,N,L,6.1
L,L,H,N,U,N,N,L,2.3
L,L,H,N,U,N,N,H,4.4
L,L,L,N,U,H,H,H,7.8
L,L,L,N,U,N,N,H,5.5
L,L,L,N,U,H,H,H,7.8
L,L,L,N,U,H,H,H,7.8
L,L,L,N,U,N,N,H,5.5
L,L,L,N,U,L,L,L,5.3
L,L,L,N,U,H,H,H,7.8
L,L,L,N,U,H,H,H,7.8
L,L,H,N,U,H,H,H,6.7
L,L,L,N,U,H,H,H,7.8
L,L,L,N,U,H,H,H,7.8
L,L,L,N,U,H,N,N,5.5
L,L,L,N,U,H,N,N,5.5
L,H,L,N,C,H,N,N,5.6
L,H,L,N,C,H,N,N,5.6
A,L,N,N,U,H,H,H,8.8
L,L,L,N,U,H,H,H,7.8
L,L,L,N,U,H,H,H,7.8
L,L,L,N,U,H,H,H,7.8
L,L,L,N,U,H,H,H,7.8
L,L,L,N,U,H,H,H,7.8
L,L,L,N,U,H,H,H,7.8
L,L,L,N,U,N,N,H,5.5
P,L,L,N,U,H,H,N,5.9
L,L,L,N,C,H,H,H,8.8
N,L,N,R,U,H,H,N,8.1
N,L,N,N,U,N,N,H,7.5
N,L,N,R,U,H,H,H,8.8
N,L,N,R,U,H,H,H,8.8
N,L,N,R,U,H,H,H,8.8
L,L,N,R,U,H,N,N,5.5
L,L,L,N,U,H,N,N,5.5
N,L,N,N,U,H,H,H,9.8
N,L,N,N,U,H,H,H,9.8
N,H,N,R,U,H,H,H,7.5
N,L,N,N,U,N,N,H,7.5
L,L,L,N,U,H,H,H,7.8
L,L,L,N,U,H,H,H,7.8
